Trade #,Type,Signal,Date/Time,Price BUSD,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
49,Exit Short,Open,,,,,,,,,,,
49,Entry Short,Sell,2023-01-05 05:00,0.2666,,,,,,,,,
48,Exit Long,Sell,2023-01-05 05:00,0.2666,367183,435.95,0.45,47813.79,0.45,805.57,0.83,259.26,0.27
48,Entry Long,Buy,2023-01-05 01:00,0.2652,367183,435.95,0.45,47813.79,0.45,805.57,0.83,259.26,0.27
47,Exit Short,Buy,2023-01-05 01:00,0.2652,358816,1071.63,1.11,47377.84,1.11,2365.54,2.46,433.22,0.45
47,Entry Short,Sell,2023-01-04 18:00,0.2684,358816,1071.63,1.11,47377.84,1.11,2365.54,2.46,433.22,0.45
46,Exit Long,Sell,2023-01-04 18:00,0.2684,359090,5958.02,6.59,46306.22,6.59,6714.75,7.43,36.14,0.04
46,Entry Long,Buy,2023-01-03 23:00,0.2516,359090,5958.02,6.59,46306.22,6.59,6714.75,7.43,36.14,0.04
45,Exit Short,Buy,2023-01-03 23:00,0.2516,349378,1186.93,1.33,40348.19,1.33,1816.04,2.04,454.92,0.51
45,Entry Short,Sell,2023-01-02 20:00,0.2552,349378,1186.93,1.33,40348.19,1.33,1816.04,2.04,454.92,0.51
44,Exit Long,Sell,2023-01-02 20:00,0.2552,349379,2305.40,2.66,39161.26,2.65,2550.69,2.94,768.41,0.89
44,Entry Long,Buy,2023-01-02 01:00,0.2484,349379,2305.40,2.66,39161.26,2.65,2550.69,2.94,768.41,0.89
43,Exit Short,Buy,2023-01-02 01:00,0.2484,346590,346.87,0.4,36855.86,0.4,450.62,0.52,346.53,0.4
43,Entry Short,Sell,2023-01-02 00:00,0.2496,346590,346.87,0.4,36855.86,0.4,450.62,0.52,346.53,0.4
42,Exit Long,Sell,2023-01-02 00:00,0.2496,346866,1492.26,1.76,36508.99,1.76,1561.58,1.84,693.05,0.82
42,Entry Long,Buy,2023-01-01 04:00,0.2451,346866,1492.26,1.76,36508.99,1.76,1561.58,1.84,693.05,0.82
41,Exit Short,Buy,2023-01-01 04:00,0.2451,349425,-347.94,-0.41,35016.73,-0.41,35.74,0.04,663.11,0.78
41,Entry Short,Sell,2023-01-01 01:00,0.2443,349425,-347.94,-0.41,35016.73,-0.41,35.74,0.04,663.11,0.78
40,Exit Long,Sell,2023-01-01 01:00,0.2443,349984,701.87,0.83,35364.68,0.83,3395.95,4.01,1153.84,1.36
40,Entry Long,Buy,2022-12-30 07:00,0.2421,349984,701.87,0.83,35364.68,0.83,3395.95,4.01,1153.84,1.36
39,Exit Short,Buy,2022-12-30 07:00,0.2421,342618,824.09,0.98,34662.81,0.98,1097.10,1.31,170.58,0.2
39,Entry Short,Sell,2022-12-30 01:00,0.2447,342618,824.09,0.98,34662.81,0.98,1097.10,1.31,170.58,0.2
38,Exit Long,Sell,2022-12-30 01:00,0.2447,342891,-170.03,-0.2,33838.71,-0.2,103.55,0.12,2193.82,2.61
38,Entry Long,Buy,2022-12-29 19:00,0.2450,342891,-170.03,-0.2,33838.71,-0.2,103.55,0.12,2193.82,2.61
37,Exit Short,Buy,2022-12-29 19:00,0.2450,339287,408.31,0.49,34008.75,0.49,1696.92,2.03,101.30,0.12
37,Entry Short,Sell,2022-12-29 01:00,0.2464,339287,408.31,0.49,34008.75,0.49,1696.92,2.03,101.30,0.12
36,Exit Long,Sell,2022-12-29 01:00,0.2464,339549,-610.43,-0.72,33600.43,-0.72,204.00,0.24,1561.65,1.85
36,Entry Long,Buy,2022-12-28 22:00,0.2480,339549,-610.43,-0.72,33600.43,-0.72,204.00,0.24,1561.65,1.85
35,Exit Short,Buy,2022-12-28 22:00,0.2480,312589,3312.59,4.09,34210.86,4.09,3812.49,4.71,157.39,0.19
35,Entry Short,Sell,2022-12-28 01:00,0.2588,312589,3312.59,4.09,34210.86,4.09,3812.49,4.71,157.39,0.19
34,Exit Long,Sell,2022-12-28 01:00,0.2588,312598,-64.72,-0.08,30898.27,-0.08,592.84,0.73,219.92,0.27
34,Entry Long,Buy,2022-12-27 22:00,0.2588,312598,-64.72,-0.08,30898.27,-0.08,592.84,0.73,219.92,0.27
33,Exit Short,Buy,2022-12-27 22:00,0.2588,301660,1415.09,1.78,30962.99,1.78,2260.80,2.84,393.81,0.5
33,Entry Short,Sell,2022-12-27 04:00,0.2637,301660,1415.09,1.78,30962.99,1.78,2260.80,2.84,393.81,0.5
32,Exit Long,Sell,2022-12-27 04:00,0.2637,302126,1568.40,2.01,29547.90,2.01,2385.79,3.06,303.13,0.39
32,Entry Long,Buy,2022-12-26 01:00,0.2583,302126,1568.40,2.01,29547.90,2.01,2385.79,3.06,303.13,0.39
31,Exit Short,Buy,2022-12-26 01:00,0.2583,299124,326.89,0.42,27979.50,0.42,1554.30,2,90.89,0.12
31,Entry Short,Sell,2022-12-25 01:00,0.2596,299124,326.89,0.42,27979.50,0.42,1554.30,2,90.89,0.12
30,Exit Long,Sell,2022-12-25 01:00,0.2596,299361,566.74,0.74,27652.61,0.74,687.63,0.89,90.71,0.12
30,Entry Long,Buy,2022-12-24 12:00,0.2575,299361,566.74,0.74,27652.61,0.74,687.63,0.89,90.71,0.12
29,Exit Short,Buy,2022-12-24 12:00,0.2575,296834,294.91,0.38,27085.87,0.38,622.32,0.81,208.82,0.27
29,Entry Short,Sell,2022-12-24 07:00,0.2587,296834,294.91,0.38,27085.87,0.38,622.32,0.81,208.82,0.27
28,Exit Long,Sell,2022-12-24 07:00,0.2587,296837,2640.86,3.56,26790.96,3.56,4215.13,5.69,1009.20,1.36
28,Entry Long,Buy,2022-12-22 15:00,0.2496,296837,2640.86,3.56,26790.96,3.56,4215.13,5.69,1009.20,1.36
27,Exit Short,Buy,2022-12-22 15:00,0.2496,289424,925.86,1.26,24150.10,1.26,1041.58,1.42,87.17,0.12
27,Entry Short,Sell,2022-12-22 13:00,0.2530,289424,925.86,1.26,24150.10,1.26,1041.58,1.42,87.17,0.12
26,Exit Long,Sell,2022-12-22 13:00,0.2530,289882,28.33,0.04,23224.24,0.04,260.58,0.36,58.29,0.08
26,Entry Long,Buy,2022-12-22 12:00,0.2527,289882,28.33,0.04,23224.24,0.04,260.58,0.36,58.29,0.08
25,Exit Short,Buy,2022-12-22 12:00,0.2527,287158,286.40,0.39,23195.91,0.39,803.59,1.1,115.31,0.16
25,Entry Short,Sell,2022-12-22 01:00,0.2539,287158,286.40,0.39,23195.91,0.39,803.59,1.1,115.31,0.16
24,Exit Long,Sell,2022-12-22 01:00,0.2539,287160,918.41,1.28,22909.51,1.28,976.29,1.36,488.23,0.68
24,Entry Long,Buy,2022-12-21 18:00,0.2505,287160,918.41,1.28,22909.51,1.28,976.29,1.36,488.23,0.68
23,Exit Short,Buy,2022-12-21 18:00,0.2505,252164,4385.78,6.49,21991.11,6.49,5142.32,7.61,329.64,0.49
23,Entry Short,Sell,2022-12-19 01:00,0.2681,252164,4385.78,6.49,21991.11,6.49,5142.32,7.61,329.64,0.49
22,Exit Long,Sell,2022-12-19 01:00,0.2681,252175,551.38,0.82,17605.33,0.82,1360.16,2.03,1212.02,1.81
22,Entry Long,Buy,2022-12-17 13:00,0.2657,252175,551.38,0.82,17605.33,0.82,1360.16,2.03,1212.02,1.81
21,Exit Short,Buy,2022-12-17 13:00,0.2657,191653,8043.78,13.63,17053.96,13.63,10536.48,17.86,1192.69,2.02
21,Entry Short,Sell,2022-12-14 06:00,0.3079,191653,8043.78,13.63,17053.96,13.63,10536.48,17.86,1192.69,2.02
20,Exit Long,Sell,2022-12-14 06:00,0.3079,191681,355.48,0.61,9010.17,0.61,2430.07,4.15,1326.88,2.26
20,Entry Long,Buy,2022-12-12 23:00,0.3058,191681,355.48,0.61,9010.17,0.61,2430.07,4.15,1326.88,2.26
19,Exit Short,Buy,2022-12-12 23:00,0.3058,182866,1344.49,2.35,8654.69,2.35,2372.62,4.14,278.94,0.49
19,Entry Short,Sell,2022-12-11 01:00,0.3134,182866,1344.49,2.35,8654.69,2.35,2372.62,4.14,278.94,0.49
18,Exit Long,Sell,2022-12-11 01:00,0.3134,183010,503.37,0.89,7310.21,0.89,764.22,1.35,77.63,0.14
18,Entry Long,Buy,2022-12-09 22:00,0.3104,183010,503.37,0.89,7310.21,0.89,764.22,1.35,77.63,0.14
17,Exit Short,Buy,2022-12-09 22:00,0.3104,179003,599.70,1.07,6806.84,1.07,944.13,1.68,344.69,0.61
17,Entry Short,Sell,2022-12-09 12:00,0.3140,179003,599.70,1.07,6806.84,1.07,944.13,1.68,344.69,0.61
16,Exit Long,Sell,2022-12-09 12:00,0.3140,179141,958.59,1.74,6207.14,1.74,1428.94,2.59,308.72,0.56
16,Entry Long,Buy,2022-12-07 20:00,0.3084,179141,958.59,1.74,6207.14,1.74,1428.94,2.59,308.72,0.56
15,Exit Short,Buy,2022-12-07 20:00,0.3084,168159,1673.05,3.12,5248.55,3.12,2013.29,3.76,55.06,0.1
15,Entry Short,Sell,2022-12-07 01:00,0.3186,168159,1673.05,3.12,5248.55,3.12,2013.29,3.76,55.06,0.1
14,Exit Long,Sell,2022-12-07 01:00,0.3186,168187,58.09,0.11,3575.50,0.11,264.52,0.49,172.76,0.32
14,Entry Long,Buy,2022-12-07 00:00,0.3180,168187,58.09,0.11,3575.50,0.11,264.52,0.49,172.76,0.32
13,Exit Short,Buy,2022-12-07 00:00,0.3180,161711,1025.73,1.95,3517.41,1.95,1774.00,3.38,700.18,1.33
13,Entry Short,Sell,2022-12-05 07:00,0.3246,161711,1025.73,1.95,3517.41,1.95,1774.00,3.38,700.18,1.33
12,Exit Long,Sell,2022-12-05 07:00,0.3246,161840,330.35,0.63,2491.69,0.63,691.23,1.33,85.60,0.16
12,Entry Long,Buy,2022-12-05 01:00,0.3223,161840,330.35,0.63,2491.69,0.63,691.23,1.33,85.60,0.16
