Trade #,Type,Signal,Date/Time,Price BUSD,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
56,Exit Short,Open,,,,,,,,,,,
56,Entry Short,Sell,2023-01-04 12:30,255.77,,,,,,,,,
55,Exit Long,Sell,2023-01-04 12:30,255.77,409.22,4292.58,4.28,54578.76,4.28,5521.18,5.51,154.70,0.15
55,Entry Long,Buy,2023-01-03 19:00,245.08,409.22,4292.58,4.28,54578.76,4.28,5521.18,5.51,154.70,0.15
54,Exit Short,Buy,2023-01-03 19:00,245.08,404.43,543.28,0.54,50286.18,0.54,914.56,0.92,424.10,0.43
54,Entry Short,Sell,2023-01-02 10:00,246.62,404.43,543.28,0.54,50286.18,0.54,914.56,0.92,424.10,0.43
53,Exit Long,Sell,2023-01-02 10:00,246.62,404.79,1673.58,1.71,49742.90,1.71,2179.02,2.22,43.28,0.04
53,Entry Long,Buy,2023-01-02 03:00,242.29,404.79,1673.58,1.71,49742.90,1.71,2179.02,2.22,43.28,0.04
52,Exit Short,Buy,2023-01-02 03:00,242.29,400.68,455.03,0.47,48069.32,0.47,1211.08,1.24,111.17,0.11
52,Entry Short,Sell,2023-01-02 00:30,243.62,400.68,455.03,0.47,48069.32,0.47,1211.08,1.24,111.17,0.11
51,Exit Long,Sell,2023-01-02 00:30,243.62,400.99,-94.20,-0.1,47614.30,-0.1,790.97,0.81,115.27,0.12
51,Entry Long,Buy,2023-01-01 09:30,243.66,400.99,-94.20,-0.1,47614.30,-0.1,790.97,0.81,115.27,0.12
50,Exit Short,Buy,2023-01-01 09:30,243.66,391.23,1151.71,1.19,47708.49,1.19,1350.24,1.4,199.03,0.21
50,Entry Short,Sell,2022-12-31 22:00,246.80,391.23,1151.71,1.19,47708.49,1.19,1350.24,1.4,199.03,0.21
49,Exit Long,Sell,2022-12-31 22:00,246.80,391.54,1211.38,1.27,46556.79,1.27,1688.55,1.77,296.55,0.31
49,Entry Long,Buy,2022-12-30 11:00,243.51,391.54,1211.38,1.27,46556.79,1.27,1688.55,1.77,296.55,0.31
48,Exit Short,Buy,2022-12-30 11:00,243.51,385.61,684.23,0.72,45345.41,0.72,1111.25,1.17,473.60,0.5
48,Entry Short,Sell,2022-12-29 14:00,245.48,385.61,684.23,0.72,45345.41,0.72,1111.25,1.17,473.60,0.5
47,Exit Long,Sell,2022-12-29 14:00,245.48,385.82,781.09,0.83,44661.18,0.83,1266.53,1.35,643.28,0.69
47,Entry Long,Buy,2022-12-28 09:00,243.26,385.82,781.09,0.83,44661.18,0.83,1266.53,1.35,643.28,0.69
46,Exit Short,Buy,2022-12-28 09:00,243.26,377.81,949.93,1.02,43880.09,1.02,1753.65,1.89,343.20,0.37
46,Entry Short,Sell,2022-12-28 00:30,245.97,377.81,949.93,1.02,43880.09,1.02,1753.65,1.89,343.20,0.37
45,Exit Long,Sell,2022-12-28 00:30,245.97,378.11,1083.08,1.18,42930.16,1.18,2284.86,2.49,456.44,0.5
45,Entry Long,Buy,2022-12-26 09:30,242.91,378.11,1083.08,1.18,42930.16,1.18,2284.86,2.49,456.44,0.5
44,Exit Short,Buy,2022-12-26 09:30,242.91,377.26,66.22,0.07,41847.08,0.07,276.41,0.3,97.07,0.11
44,Entry Short,Sell,2022-12-26 07:00,243.28,377.26,66.22,0.07,41847.08,0.07,276.41,0.3,97.07,0.11
43,Exit Long,Sell,2022-12-26 07:00,243.28,377.56,-65.93,-0.07,41780.86,-0.07,540.93,0.59,436.95,0.48
43,Entry Long,Buy,2022-12-25 22:00,243.26,377.56,-65.93,-0.07,41780.86,-0.07,540.93,0.59,436.95,0.48
42,Exit Short,Buy,2022-12-25 22:00,243.26,373.68,435.28,0.48,41846.79,0.48,1267.58,1.39,443.88,0.49
42,Entry Short,Sell,2022-12-25 00:30,244.62,373.68,435.28,0.48,41846.79,0.48,1267.58,1.39,443.88,0.49
41,Exit Long,Sell,2022-12-25 00:30,244.62,373.98,132.58,0.15,41411.51,0.15,285.11,0.31,77.65,0.09
41,Entry Long,Buy,2022-12-24 15:30,244.07,373.98,132.58,0.15,41411.51,0.15,285.11,0.31,77.65,0.09
40,Exit Short,Buy,2022-12-24 15:30,244.07,368.9,584.35,0.64,41278.93,0.64,919.17,1.01,65.79,0.07
40,Entry Short,Sell,2022-12-24 00:30,245.85,368.9,584.35,0.64,41278.93,0.64,919.17,1.01,65.79,0.07
39,Exit Long,Sell,2022-12-24 00:30,245.85,369.15,1629.86,1.83,40694.57,1.83,2725.62,3.06,364.17,0.41
