Trade #,Type,Signal,Date/Time,Price BUSD,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
50,Exit Short,Open,,,,,,,,,,,
50,Entry Short,Sell,2023-01-04 10:30,1249.39,,,,,,,,,
49,Exit Long,Sell,2023-01-04 10:30,1249.39,70.419,2813.02,3.31,37911.98,3.31,3729.86,4.38,34.04,0.04
49,Entry Long,Buy,2023-01-03 20:00,1208.46,70.419,2813.02,3.31,37911.98,3.31,3729.86,4.38,34.04,0.04
48,Exit Short,Buy,2023-01-03 20:00,1208.46,69.572,477.97,0.56,35098.96,0.56,826.76,0.98,487.46,0.58
48,Entry Short,Sell,2023-01-02 12:00,1216.30,69.572,477.97,0.56,35098.96,0.56,826.76,0.98,487.46,0.58
47,Exit Long,Sell,2023-01-02 12:00,1216.30,69.626,1273.78,1.53,34621.00,1.53,1831.25,2.2,405.84,0.49
47,Entry Long,Buy,2023-01-02 00:30,1197.04,69.626,1273.78,1.53,34621.00,1.53,1831.25,2.2,405.84,0.49
46,Exit Short,Buy,2023-01-02 00:30,1197.04,69.11,276.47,0.33,33347.21,0.33,330.29,0.4,75.39,0.09
46,Entry Short,Sell,2023-01-01 20:30,1202.00,69.11,276.47,0.33,33347.21,0.33,330.29,0.4,75.39,0.09
45,Exit Long,Sell,2023-01-01 20:30,1202.00,69.164,532.00,0.64,33070.75,0.64,669.00,0.81,255.72,0.31
45,Entry Long,Buy,2023-01-01 04:00,1193.35,69.164,532.00,0.64,33070.75,0.64,669.00,0.81,255.72,0.31
44,Exit Short,Buy,2023-01-01 04:00,1193.35,68.596,306.84,0.37,32538.74,0.37,495.98,0.6,442.41,0.54
44,Entry Short,Sell,2022-12-31 19:00,1198.78,68.596,306.84,0.37,32538.74,0.37,495.98,0.6,442.41,0.54
43,Exit Long,Sell,2022-12-31 19:00,1198.78,68.649,35.81,0.04,32231.90,0.04,691.37,0.84,463.31,0.56
43,Entry Long,Buy,2022-12-31 00:30,1197.30,68.649,35.81,0.04,32231.90,0.04,691.37,0.84,463.31,0.56
42,Exit Short,Buy,2022-12-31 00:30,1197.30,69.091,-296.85,-0.36,32196.10,-0.36,0,0,495.91,0.6
42,Entry Short,Sell,2022-12-30 20:00,1193.96,69.091,-296.85,-0.36,32196.10,-0.36,0,0,495.91,0.6
41,Exit Long,Sell,2022-12-30 20:00,1193.96,69.146,184.36,0.22,32492.95,0.22,473.23,0.57,738.90,0.9
41,Entry Long,Buy,2022-12-30 13:30,1190.34,69.146,184.36,0.22,32492.95,0.22,473.23,0.57,738.90,0.9
40,Exit Short,Buy,2022-12-30 13:30,1190.34,68.087,598.06,0.73,32308.59,0.73,1060.11,1.3,266.22,0.33
40,Entry Short,Sell,2022-12-29 17:00,1200.08,68.087,598.06,0.73,32308.59,0.73,1060.11,1.3,266.22,0.33
39,Exit Long,Sell,2022-12-29 17:00,1200.08,68.142,261.79,0.32,31710.52,0.32,800.12,0.98,1073.79,1.32
39,Entry Long,Buy,2022-12-28 11:30,1195.28,68.142,261.79,0.32,31710.52,0.32,800.12,0.98,1073.79,1.32
38,Exit Short,Buy,2022-12-28 11:30,1195.28,66.644,862.92,1.07,31448.73,1.07,1579.88,1.96,436.10,0.54
38,Entry Short,Sell,2022-12-28 00:30,1209.19,66.644,862.92,1.07,31448.73,1.07,1579.88,1.96,436.10,0.54
37,Exit Long,Sell,2022-12-28 00:30,1209.19,66.696,61.59,0.08,30585.81,0.08,409.32,0.51,535.76,0.67
37,Entry Long,Buy,2022-12-27 17:30,1207.30,66.696,61.59,0.08,30585.81,0.08,409.32,0.51,535.76,0.67
36,Exit Short,Buy,2022-12-27 17:30,1207.30,64.668,1193.54,1.5,30524.22,1.5,1438.17,1.81,31.73,0.04
36,Entry Short,Sell,2022-12-27 00:30,1226.73,64.668,1193.54,1.5,30524.22,1.5,1438.17,1.81,31.73,0.04
35,Exit Long,Sell,2022-12-27 00:30,1226.73,64.718,598.82,0.76,29330.69,0.76,1064.18,1.35,442.45,0.56
35,Entry Long,Buy,2022-12-26 00:30,1216.50,64.718,598.82,0.76,29330.69,0.76,1064.18,1.35,442.45,0.56
34,Exit Short,Buy,2022-12-26 00:30,1216.50,64.354,190.82,0.24,28731.87,0.24,2461.66,3.13,301.06,0.38
34,Entry Short,Sell,2022-12-25 00:30,1220.44,64.354,190.82,0.24,28731.87,0.24,2461.66,3.13,301.06,0.38
33,Exit Long,Sell,2022-12-25 00:30,1220.44,64.404,65.33,0.08,28541.04,0.08,522.49,0.67,309.61,0.39
33,Entry Long,Buy,2022-12-23 18:00,1218.45,64.404,65.33,0.08,28541.04,0.08,522.49,0.67,309.61,0.39
32,Exit Short,Buy,2022-12-23 18:00,1218.45,63.934,255.94,0.33,28475.71,0.33,825.43,1.06,503.12,0.64
32,Entry Short,Sell,2022-12-23 12:30,1223.43,63.934,255.94,0.33,28475.71,0.33,825.43,1.06,503.12,0.64
31,Exit Long,Sell,2022-12-23 12:30,1223.43,63.985,2204.63,2.9,28219.77,2.9,3129.81,4.12,393.20,0.52
31,Entry Long,Buy,2022-12-22 16:30,1188.01,63.985,2204.63,2.9,28219.77,2.9,3129.81,4.12,393.20,0.52
30,Exit Short,Buy,2022-12-22 16:30,1188.01,61.773,1284.32,1.72,26015.14,1.72,1572.50,2.1,1280.18,1.71
30,Entry Short,Sell,2022-12-20 09:30,1209.76,61.773,1284.32,1.72,26015.14,1.72,1572.50,2.1,1280.18,1.71
29,Exit Long,Sell,2022-12-20 09:30,1209.76,61.822,2418.99,3.35,24730.82,3.35,2823.54,3.9,125.37,0.17
29,Entry Long,Buy,2022-12-20 00:30,1169.68,61.822,2418.99,3.35,24730.82,3.35,2823.54,3.9,125.37,0.17
28,Exit Short,Buy,2022-12-20 00:30,1169.68,59.604,1268.69,1.79,22311.83,1.79,2480.32,3.49,203.06,0.29
28,Entry Short,Sell,2022-12-19 00:30,1191.91,59.604,1268.69,1.79,22311.83,1.79,2480.32,3.49,203.06,0.29
27,Exit Long,Sell,2022-12-19 00:30,1191.91,59.651,1312.66,1.88,21043.14,1.88,1585.07,2.27,473.48,0.68
27,Entry Long,Buy,2022-12-17 01:30,1168.96,59.651,1312.66,1.88,21043.14,1.88,1585.07,2.27,473.48,0.68
