Trade #,Type,Signal,Date/Time,Price BUSD,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
35,Exit Short,Open,,,,,,,,,,,
35,Entry Short,Sell,2023-01-04 08:00,76.59,,,,,,,,,
34,Exit Long,Sell,2023-01-04 08:00,76.59,1373.37,1248.55,1.2,55074.45,1.2,3158.41,3.04,82.74,0.08
34,Entry Long,Buy,2023-01-04 01:00,75.62,1373.37,1248.55,1.2,55074.45,1.2,3158.41,3.04,82.74,0.08
33,Exit Short,Buy,2023-01-04 01:00,75.62,1395.88,-907.68,-0.87,53825.90,-0.87,1968.17,1.88,1954.25,1.87
33,Entry Short,Sell,2023-01-03 03:00,75.03,1395.88,-907.68,-0.87,53825.90,-0.87,1968.17,1.88,1954.25,1.87
32,Exit Long,Sell,2023-01-03 03:00,75.03,1396.63,-13.97,-0.01,54733.58,-0.01,488.83,0.47,642.44,0.61
32,Entry Long,Buy,2023-01-03 01:00,74.98,1396.63,-13.97,-0.01,54733.58,-0.01,488.83,0.47,642.44,0.61
31,Exit Short,Buy,2023-01-03 01:00,74.98,1385.18,401.53,0.38,54747.55,0.38,1301.89,1.25,41.74,0.04
31,Entry Short,Sell,2023-01-02 22:00,75.33,1385.18,401.53,0.38,54747.55,0.38,1301.89,1.25,41.74,0.04
30,Exit Long,Sell,2023-01-02 22:00,75.33,1385.88,6848.65,7.03,54346.02,7.02,10923.32,11.21,496.33,0.51
30,Entry Long,Buy,2023-01-02 01:00,70.33,1385.88,6848.65,7.03,54346.02,7.02,10923.32,11.21,496.33,0.51
29,Exit Short,Buy,2023-01-02 01:00,70.33,1369.85,539.11,0.56,47497.37,0.56,577.65,0.6,381.25,0.39
29,Entry Short,Sell,2023-01-01 23:00,70.78,1369.85,539.11,0.56,47497.37,0.56,577.65,0.6,381.25,0.39
28,Exit Long,Sell,2023-01-01 23:00,70.78,1370.5,5159.80,5.62,46958.25,5.62,6116.84,6.67,1393.50,1.52
28,Entry Long,Buy,2022-12-30 01:00,66.96,1370.5,5159.80,5.62,46958.25,5.62,6116.84,6.67,1393.50,1.52
27,Exit Short,Buy,2022-12-30 01:00,66.96,1239.43,4368.99,5,41798.45,5,6199.36,7.09,716.66,0.82
27,Entry Short,Sell,2022-12-27 02:00,70.54,1239.43,4368.99,5,41798.45,5,6199.36,7.09,716.66,0.82
26,Exit Long,Sell,2022-12-27 02:00,70.54,1240.39,5700.12,6.97,37429.46,6.97,7223.59,8.84,851.35,1.04
26,Entry Long,Buy,2022-12-25 01:00,65.89,1240.39,5700.12,6.97,37429.46,6.97,7223.59,8.84,851.35,1.04
25,Exit Short,Buy,2022-12-25 01:00,65.89,1248.58,-302.95,-0.37,31729.34,-0.37,791.25,0.96,382.42,0.47
25,Entry Short,Sell,2022-12-24 01:00,65.70,1248.58,-302.95,-0.37,31729.34,-0.37,791.25,0.96,382.42,0.47
24,Exit Long,Sell,2022-12-24 01:00,65.70,1249.2,134.29,0.16,32032.29,0.16,304.53,0.37,232.62,0.28
24,Entry Long,Buy,2022-12-23 18:00,65.54,1249.2,134.29,0.16,32032.29,0.16,304.53,0.37,232.62,0.28
23,Exit Short,Buy,2022-12-23 18:00,65.54,1233.63,490.23,0.6,31898.00,0.6,1398.45,1.72,279.29,0.34
23,Entry Short,Sell,2022-12-23 13:00,65.99,1233.63,490.23,0.6,31898.00,0.6,1398.45,1.72,279.29,0.34
22,Exit Long,Sell,2022-12-23 13:00,65.99,1234.24,268.22,0.33,31407.77,0.33,1152.42,1.42,303.98,0.37
22,Entry Long,Buy,2022-12-22 21:00,65.72,1234.24,268.22,0.33,31407.77,0.33,1152.42,1.42,303.98,0.37
21,Exit Short,Buy,2022-12-22 21:00,65.72,1221.11,411.84,0.51,31139.55,0.51,2287.82,2.83,508.52,0.63
21,Entry Short,Sell,2022-12-22 10:00,66.11,1221.11,411.84,0.51,31139.55,0.51,2287.82,2.83,508.52,0.63
20,Exit Long,Sell,2022-12-22 10:00,66.11,1222.77,3274.83,4.23,30727.71,4.23,4101.96,5.29,2941.19,3.8
20,Entry Long,Buy,2022-12-19 15:00,63.38,1222.77,3274.83,4.23,30727.71,4.23,4101.96,5.29,2941.19,3.8
19,Exit Short,Buy,2022-12-19 15:00,63.38,1176.58,1410.48,1.85,27452.88,1.85,3687.58,4.85,242.20,0.32
19,Entry Short,Sell,2022-12-19 01:00,64.63,1176.58,1410.48,1.85,27452.88,1.85,3687.58,4.85,242.20,0.32
18,Exit Long,Sell,2022-12-19 01:00,64.63,1176.44,433.48,0.57,26042.40,0.57,1969.73,2.61,1453.71,1.92
18,Entry Long,Buy,2022-12-17 16:00,64.21,1176.44,433.48,0.57,26042.40,0.57,1969.73,2.61,1453.71,1.92
17,Exit Short,Buy,2022-12-17 16:00,64.21,824.94,11296.01,17.56,25608.92,17.56,12785.59,19.88,933.16,1.45
17,Entry Short,Sell,2022-12-14 01:00,77.96,824.94,11296.01,17.56,25608.92,17.56,12785.59,19.88,933.16,1.45
16,Exit Long,Sell,2022-12-14 01:00,77.96,825.58,2442.76,3.95,14312.91,3.95,3971.06,6.42,544.86,0.88
16,Entry Long,Buy,2022-12-12 15:00,74.94,825.58,2442.76,3.95,14312.91,3.95,3971.06,6.42,544.86,0.88
15,Exit Short,Buy,2022-12-12 15:00,74.94,799.98,935.62,1.54,11870.15,1.54,2111.57,3.47,440.36,0.72
15,Entry Short,Sell,2022-12-12 01:00,76.17,799.98,935.62,1.54,11870.15,1.54,2111.57,3.47,440.36,0.72
14,Exit Long,Sell,2022-12-12 01:00,76.17,800.41,-985.63,-1.59,10934.53,-1.59,799.66,1.29,1329.43,2.15
14,Entry Long,Buy,2022-12-11 01:00,77.34,800.41,-985.63,-1.59,10934.53,-1.59,799.66,1.29,1329.43,2.15
13,Exit Short,Buy,2022-12-11 01:00,77.34,814.54,-563.35,-0.9,11920.16,-0.9,455.59,0.73,660.33,1.06
13,Entry Short,Sell,2022-12-10 19:00,76.71,814.54,-563.35,-0.9,11920.16,-0.9,455.59,0.73,660.33,1.06
12,Exit Long,Sell,2022-12-10 19:00,76.71,815.4,308.88,0.5,12483.51,0.5,904.68,1.45,147.19,0.24
12,Entry Long,Buy,2022-12-10 13:00,76.27,815.4,308.88,0.5,12483.51,0.5,904.68,1.45,147.19,0.24
11,Exit Short,Buy,2022-12-10 13:00,76.27,810.1,169.21,0.27,12174.63,0.27,688.09,1.11,219.23,0.35
11,Entry Short,Sell,2022-12-10 01:00,76.54,810.1,169.21,0.27,12174.63,0.27,688.09,1.11,219.23,0.35
10,Exit Long,Sell,2022-12-10 01:00,76.54,810.94,63.92,0.1,12005.42,0.1,121.19,0.2,503.24,0.81
10,Entry Long,Buy,2022-12-09 19:00,76.40,810.94,63.92,0.1,12005.42,0.1,121.19,0.2,503.24,0.81
9,Exit Short,Buy,2022-12-09 19:00,76.40,777.98,1227.83,2.02,11941.50,2.02,1422.76,2.34,327.70,0.54
9,Entry Short,Sell,2022-12-09 12:00,78.04,777.98,1227.83,2.02,11941.50,2.02,1422.76,2.34,327.70,0.54
8,Exit Long,Sell,2022-12-09 12:00,78.04,777.99,2099.54,3.58,10713.67,3.58,2691.76,4.6,583.58,1
8,Entry Long,Buy,2022-12-08 11:00,75.28,777.99,2099.54,3.58,10713.67,3.58,2691.76,4.6,583.58,1
7,Exit Short,Buy,2022-12-08 11:00,75.28,763.21,556.73,0.96,8614.13,0.96,1236.07,2.13,649.06,1.12
7,Entry Short,Sell,2022-12-08 01:00,76.07,763.21,556.73,0.96,8614.13,0.96,1236.07,2.13,649.06,1.12
6,Exit Long,Sell,2022-12-08 01:00,76.07,763.41,-718.53,-1.22,8057.40,-1.22,213.16,0.36,741.10,1.26
6,Entry Long,Buy,2022-12-07 20:00,76.95,763.41,-718.53,-1.22,8057.40,-1.22,213.16,0.36,741.10,1.26
5,Exit Short,Buy,2022-12-07 20:00,76.95,688.83,2863.30,5.12,8775.93,5.12,3924.63,7.02,483.88,0.87
5,Entry Short,Sell,2022-12-05 18:00,81.17,688.83,2863.30,5.12,8775.93,5.12,3924.63,7.02,483.88,0.87
4,Exit Long,Sell,2022-12-05 18:00,81.17,689.35,3603.36,6.89,5912.63,6.89,6286.63,12.02,351.81,0.67
4,Entry Long,Buy,2022-12-03 21:00,75.88,689.35,3603.36,6.89,5912.63,6.89,6286.63,12.02,351.81,0.67
3,Exit Short,Buy,2022-12-03 21:00,75.88,666.2,858.57,1.67,2309.28,1.67,1018.69,1.98,173.81,0.34
3,Entry Short,Sell,2022-12-03 01:00,77.23,666.2,858.57,1.67,2309.28,1.67,1018.69,1.98,173.81,0.34
2,Exit Long,Sell,2022-12-03 01:00,77.23,666.55,645.64,1.27,1450.71,1.27,1199.47,2.36,46.98,0.09
2,Entry Long,Buy,2022-12-02 16:00,76.20,666.55,645.64,1.27,1450.71,1.27,1199.47,2.36,46.98,0.09
1,Exit Short,Buy,2022-12-02 16:00,76.20,644.82,805.07,1.61,805.07,1.61,1385.72,2.77,45.78,0.09
1,Entry Short,Sell,2022-12-02 01:00,77.51,644.82,805.07,1.61,805.07,1.61,1385.72,2.77,45.78,0.09
