Trade #,Type,Signal,Date/Time,Price BUSD,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
171,Exit Short,Open,,,,,,,,,,,
171,Entry Short,Sell,2022-12-25 00:00,1220.05,,,,,,,,,
170,Exit Long,Sell,2022-12-25 00:00,1220.05,655.985,567.23,0.07,449696.38,0.07,1772.94,0.22,700.12,0.09
170,Entry Long,Buy,2022-12-24 21:57,1218.21,655.985,567.23,0.07,449696.38,0.07,1772.94,0.22,700.12,0.09
169,Exit Short,Buy,2022-12-24 21:57,1218.21,654.072,846.71,0.11,449129.16,0.11,1394.36,0.17,4616.57,0.58
169,Entry Short,Sell,2022-12-24 18:15,1220.48,654.072,846.71,0.11,449129.16,0.11,1394.36,0.17,4616.57,0.58
168,Exit Long,Sell,2022-12-24 18:15,1220.48,654.583,87.75,0.01,448282.44,0.01,2868.55,0.36,4986.45,0.62
168,Entry Long,Buy,2022-12-23 14:33,1219.37,654.583,87.75,0.01,448282.44,0.01,2868.55,0.36,4986.45,0.62
167,Exit Short,Buy,2022-12-23 14:33,1219.37,650.73,2038.65,0.26,448194.70,0.26,8433.86,1.06,5088.31,0.64
167,Entry Short,Sell,2022-12-23 10:33,1223.48,650.73,2038.65,0.26,448194.70,0.26,8433.86,1.06,5088.31,0.64
166,Exit Long,Sell,2022-12-23 10:33,1223.48,651.25,3375.87,0.43,446156.06,0.43,3694.59,0.47,1059.54,0.13
166,Entry Long,Buy,2022-12-23 08:12,1217.32,651.25,3375.87,0.43,446156.06,0.43,3694.59,0.47,1059.54,0.13
165,Exit Short,Buy,2022-12-23 08:12,1217.32,650.488,146.79,0.02,442780.20,0.02,3494.81,0.44,7134.17,0.9
165,Entry Short,Sell,2022-12-22 20:36,1218.52,650.488,146.79,0.02,442780.20,0.02,3494.81,0.44,7134.17,0.9
164,Exit Long,Sell,2022-12-22 20:36,1218.52,651.017,5272.46,0.67,442633.38,0.67,17880.98,2.27,17964.02,2.28
164,Entry Long,Buy,2022-12-22 13:54,1209.45,651.017,5272.46,0.67,442633.38,0.67,17880.98,2.27,17964.02,2.28
163,Exit Short,Buy,2022-12-22 13:54,1209.45,648.171,1400.82,0.18,437360.90,0.18,2952.40,0.38,6057.18,0.77
163,Entry Short,Sell,2022-12-22 07:51,1212.58,648.171,1400.82,0.18,437360.90,0.18,2952.40,0.38,6057.18,0.77
162,Exit Long,Sell,2022-12-22 07:51,1212.58,648.679,727.02,0.09,435960.10,0.09,1716.28,0.22,1066.56,0.14
162,Entry Long,Buy,2022-12-22 05:15,1210.49,648.679,727.02,0.09,435960.10,0.09,1716.28,0.22,1066.56,0.14
161,Exit Short,Buy,2022-12-22 05:15,1210.49,649.209,-628.69,-0.08,435233.10,-0.08,1230.77,0.16,5228.86,0.67
161,Entry Short,Sell,2022-12-21 21:54,1210.49,649.209,-628.69,-0.08,435233.10,-0.08,1230.77,0.16,5228.86,0.67
160,Exit Long,Sell,2022-12-21 21:54,1210.49,649.732,-3885.65,-0.49,435861.78,-0.49,0,0,6397.39,0.81
160,Entry Long,Buy,2022-12-21 16:09,1215.50,649.732,-3885.65,-0.49,435861.78,-0.49,0,0,6397.39,0.81
159,Exit Short,Buy,2022-12-21 16:09,1215.50,655.267,-3682.95,-0.46,439747.44,-0.46,3083.46,0.39,8383.71,1.06
159,Entry Short,Sell,2022-12-21 06:03,1210.85,655.267,-3682.95,-0.46,439747.44,-0.46,3083.46,0.39,8383.71,1.06
158,Exit Long,Sell,2022-12-21 06:03,1210.85,655.789,204.50,0.03,443430.38,0.03,1846.81,0.23,4835.68,0.61
158,Entry Long,Buy,2022-12-21 01:06,1209.57,655.789,204.50,0.03,443430.38,0.03,1846.81,0.23,4835.68,0.61
157,Exit Short,Buy,2022-12-21 01:06,1209.57,679.195,-14480.10,-1.79,443225.88,-1.79,498.74,0.06,28027.45,3.47
157,Entry Short,Sell,2022-12-20 03:15,1189.21,679.195,-14480.10,-1.79,443225.88,-1.79,498.74,0.06,28027.45,3.47
156,Exit Long,Sell,2022-12-20 03:15,1189.21,679.724,22595.59,2.88,457706.00,2.88,29281.14,3.73,3855.40,0.49
156,Entry Long,Buy,2022-12-19 22:36,1155.03,679.724,22595.59,2.88,457706.00,2.88,29281.14,3.73,3855.40,0.49
155,Exit Short,Buy,2022-12-19 22:36,1155.03,662.417,9691.00,1.25,435110.40,1.25,11215.89,1.45,7166.18,0.92
155,Entry Short,Sell,2022-12-19 19:39,1170.59,662.417,9691.00,1.25,435110.40,1.25,11215.89,1.45,7166.18,0.92
154,Exit Long,Sell,2022-12-19 19:39,1170.59,662.944,-1801.34,-0.23,425419.40,-0.23,3043.61,0.39,5455.33,0.7
154,Entry Long,Buy,2022-12-19 16:42,1172.37,662.944,-1801.34,-0.23,425419.40,-0.23,3043.61,0.39,5455.33,0.7
