Trade #,Type,Signal,Date/Time,Price BUSD,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
41,Exit Short,Open,,,,,,,,,,,
41,Entry Short,Sell,2023-01-09 12:45,6.171,,,,,,,,,
40,Exit Long,Sell,2023-01-09 12:45,6.171,169521.354,65642.06,6.7,509327.16,6.7,75892.74,7.75,3443.25,0.35
40,Entry Long,Buy,2023-01-08 00:45,5.779,169521.354,65642.06,6.7,509327.16,6.7,75892.74,7.75,3443.25,0.35
39,Exit Short,Buy,2023-01-08 00:45,5.779,169715.874,-954.28,-0.1,443685.10,-0.1,4359.80,0.44,11423.78,1.16
39,Entry Short,Sell,2023-01-07 21:45,5.778,169715.874,-954.28,-0.1,443685.10,-0.1,4359.80,0.44,11423.78,1.16
38,Exit Long,Sell,2023-01-07 21:45,5.778,169970.102,11117.00,1.15,444639.38,1.15,20348.28,2.1,1067.96,0.11
38,Entry Long,Buy,2023-01-07 00:45,5.708,169970.102,11117.00,1.15,444639.38,1.15,20348.28,2.1,1067.96,0.11
37,Exit Short,Buy,2023-01-07 00:45,5.708,171975.211,-6458.22,-0.66,433522.38,-0.66,3221.10,0.33,8989.15,0.92
37,Entry Short,Sell,2023-01-06 18:45,5.675,171975.211,-6458.22,-0.66,433522.38,-0.66,3221.10,0.33,8989.15,0.92
36,Exit Long,Sell,2023-01-06 18:45,5.675,172109.341,6105.75,0.63,439980.60,0.63,8217.53,0.85,387.93,0.04
36,Entry Long,Buy,2023-01-06 16:30,5.635,172109.341,6105.75,0.63,439980.60,0.63,8217.53,0.85,387.93,0.04
35,Exit Short,Buy,2023-01-06 16:30,5.635,164537.028,20968.47,2.21,433874.84,2.21,41412.85,4.36,14858.81,1.57
35,Entry Short,Sell,2023-01-04 12:45,5.767,164537.028,20968.47,2.21,433874.84,2.21,41412.85,4.36,14858.81,1.57
34,Exit Long,Sell,2023-01-04 12:45,5.767,164721.166,25935.55,2.81,412906.38,2.81,38175.45,4.13,534.03,0.06
34,Entry Long,Buy,2023-01-03 23:15,5.605,164721.166,25935.55,2.81,412906.38,2.81,38175.45,4.13,534.03,0.06
33,Exit Short,Buy,2023-01-03 23:15,5.605,159611.39,13803.13,1.52,386970.84,1.52,20864.66,2.29,9780.73,1.08
