Trade #,Type,Signal,Date/Time,Price BUSD,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
76,Exit Long,Open,,,,,,,,,,,
76,Entry Long,Buy,2023-01-13 18:30,0.3736,,,,,,,,,
75,Exit Short,Buy,2023-01-13 18:30,0.3736,2553379.6,3065.38,0.32,510466.66,0.32,18256.56,1.91,7532.57,0.79
75,Entry Short,Sell,2023-01-13 07:30,0.3751,2553379.6,3065.38,0.32,510466.66,0.32,18256.56,1.91,7532.57,0.79
74,Exit Long,Sell,2023-01-13 07:30,0.3751,2555423.1,4857.35,0.51,507401.28,0.51,17251.25,1.81,7025.27,0.74
74,Entry Long,Buy,2023-01-12 18:30,0.3729,2555423.1,4857.35,0.51,507401.28,0.51,17251.25,1.81,7025.27,0.74
73,Exit Short,Buy,2023-01-12 18:30,0.3729,2571262.5,-3337.29,-0.35,502543.94,-0.35,35358.05,3.7,10924.68,1.14
73,Entry Short,Sell,2023-01-12 06:30,0.3719,2571262.5,-3337.29,-0.35,502543.94,-0.35,35358.05,3.7,10924.68,1.14
72,Exit Long,Sell,2023-01-12 06:30,0.3719,2573274.4,53037.35,5.87,505881.22,5.87,77866.26,8.62,9367.75,1.04
72,Entry Long,Buy,2023-01-10 18:30,0.3510,2573274.4,53037.35,5.87,505881.22,5.87,77866.26,8.62,9367.75,1.04
71,Exit Short,Buy,2023-01-10 18:30,0.3510,2605028.9,-5939.47,-0.65,452843.88,-0.65,0,0,5834.22,0.64
71,Entry Short,Sell,2023-01-10 17:30,0.3490,2605028.9,-5939.47,-0.65,452843.88,-0.65,0,0,5834.22,0.64
70,Exit Long,Sell,2023-01-10 17:30,0.3490,2608588.9,1881.31,0.21,458783.34,0.21,6419.22,0.71,4797.72,0.53
70,Entry Long,Buy,2023-01-10 13:30,0.3480,2608588.9,1881.31,0.21,458783.34,0.21,6419.22,0.71,4797.72,0.53
69,Exit Short,Buy,2023-01-10 13:30,0.3480,2583934.3,3671.56,0.41,456902.03,0.41,8165.54,0.9,1136.62,0.13
69,Entry Short,Sell,2023-01-10 11:30,0.3497,2583934.3,3671.56,0.41,456902.03,0.41,8165.54,0.9,1136.62,0.13
68,Exit Long,Sell,2023-01-10 11:30,0.3497,2585987.9,2122.27,0.24,453230.47,0.24,4294.19,0.48,877.79,0.1
68,Entry Long,Buy,2023-01-10 10:00,0.3486,2585987.9,2122.27,0.24,453230.47,0.24,4294.19,0.48,877.79,0.1
67,Exit Short,Buy,2023-01-10 10:00,0.3486,2558692.2,4401.77,0.49,451108.20,0.49,19087.23,2.13,3941.00,0.44
67,Entry Short,Sell,2023-01-10 00:30,0.3506,2558692.2,4401.77,0.49,451108.20,0.49,19087.23,2.13,3941.00,0.44
66,Exit Long,Sell,2023-01-10 00:30,0.3506,2559262.9,4658.78,0.52,446706.44,0.52,5017.69,0.56,356.76,0.04
66,Entry Long,Buy,2023-01-10 00:00,0.3485,2559262.9,4658.78,0.52,446706.44,0.52,5017.69,0.56,356.76,0.04
65,Exit Short,Buy,2023-01-10 00:00,0.3485,2469211.4,15601.86,1.78,442047.66,1.78,21625.25,2.47,5782.99,0.66
65,Entry Short,Sell,2023-01-09 17:00,0.3551,2469211.4,15601.86,1.78,442047.66,1.78,21625.25,2.47,5782.99,0.66
64,Exit Long,Sell,2023-01-09 17:00,0.3551,2471180.5,9928.31,1.15,426445.78,1.15,14727.45,1.7,17397.90,2.01
64,Entry Long,Buy,2023-01-09 12:30,0.3508,2471180.5,9928.31,1.15,426445.78,1.15,14727.45,1.7,17397.90,2.01
63,Exit Short,Buy,2023-01-09 12:30,0.3508,2483070.1,-2434.30,-0.28,416517.47,-0.28,1887.03,0.22,5562.18,0.64
63,Entry Short,Sell,2023-01-09 12:00,0.3501,2483070.1,-2434.30,-0.28,416517.47,-0.28,1887.03,0.22,5562.18,0.64
62,Exit Long,Sell,2023-01-09 12:00,0.3501,2483600.3,27131.84,3.22,418951.78,3.22,37910.77,4.5,1330.12,0.16
62,Entry Long,Buy,2023-01-08 12:30,0.3389,2483600.3,27131.84,3.22,418951.78,3.22,37910.77,4.5,1330.12,0.16
61,Exit Short,Buy,2023-01-08 12:30,0.3389,2428273.2,9293.58,1.12,391819.94,1.12,19093.03,2.29,575.99,0.07
61,Entry Short,Sell,2023-01-08 00:30,0.3430,2428273.2,9293.58,1.12,391819.94,1.12,19093.03,2.29,575.99,0.07
60,Exit Long,Sell,2023-01-08 00:30,0.3430,2430209.1,2250.57,0.27,382526.34,0.27,8416.49,1.01,575.28,0.07
60,Entry Long,Buy,2023-01-07 12:30,0.3418,2430209.1,2250.57,0.27,382526.34,0.27,8416.49,1.01,575.28,0.07
59,Exit Short,Buy,2023-01-07 12:30,0.3418,2420821.1,1273.93,0.15,380275.78,0.15,3541.56,0.43,1058.00,0.13
59,Entry Short,Sell,2023-01-07 06:00,0.3426,2420821.1,1273.93,0.15,380275.78,0.15,3541.56,0.43,1058.00,0.13
58,Exit Long,Sell,2023-01-07 06:00,0.3426,2424195.4,6611.07,0.8,379001.84,0.8,14700.71,1.79,2026.24,0.25
58,Entry Long,Buy,2023-01-06 18:30,0.3396,2424195.4,6611.07,0.8,379001.84,0.8,14700.71,1.79,2026.24,0.25
57,Exit Short,Buy,2023-01-06 18:30,0.3396,2466835,-7821.15,-0.94,372390.78,-0.94,654.50,0.08,7486.05,0.9
57,Entry Short,Sell,2023-01-06 17:00,0.3367,2466835,-7821.15,-0.94,372390.78,-0.94,654.50,0.08,7486.05,0.9
56,Exit Long,Sell,2023-01-06 17:00,0.3367,2470167.4,323.10,0.04,380211.94,0.04,3619.98,0.44,5272.62,0.63
56,Entry Long,Buy,2023-01-06 14:30,0.3363,2470167.4,323.10,0.04,380211.94,0.04,3619.98,0.44,5272.62,0.63
55,Exit Short,Buy,2023-01-06 14:30,0.3363,2313822.2,25744.51,3.2,379888.84,3.2,38781.79,4.82,784.57,0.1
55,Entry Short,Sell,2023-01-05 00:30,0.3477,2313822.2,25744.51,3.2,379888.84,3.2,38781.79,4.82,784.57,0.1
54,Exit Long,Sell,2023-01-05 00:30,0.3477,2316992.2,2137.01,0.27,354144.30,0.27,3849.45,0.48,321.14,0.04
54,Entry Long,Buy,2023-01-04 23:30,0.3465,2316992.2,2137.01,0.27,354144.30,0.27,3849.45,0.48,321.14,0.04
53,Exit Short,Buy,2023-01-04 23:30,0.3465,2300250,2351.50,0.29,352007.30,0.29,11641.29,1.46,9060.96,1.13
53,Entry Short,Sell,2023-01-04 12:30,0.3478,2300250,2351.50,0.29,352007.30,0.29,11641.29,1.46,9060.96,1.13
52,Exit Long,Sell,2023-01-04 12:30,0.3478,2302075.5,10413.85,1.32,349655.80,1.32,20633.04,2.61,1927.30,0.24
52,Entry Long,Buy,2023-01-04 00:30,0.3430,2302075.5,10413.85,1.32,349655.80,1.32,20633.04,2.61,1927.30,0.24
51,Exit Short,Buy,2023-01-04 00:30,0.3430,2294551.3,975.92,0.12,339241.97,0.12,7715.47,0.98,7887.47,1
51,Entry Short,Sell,2023-01-03 12:30,0.3437,2294551.3,975.92,0.12,339241.97,0.12,7715.47,0.98,7887.47,1
50,Exit Long,Sell,2023-01-03 12:30,0.3437,2296396.3,-16482.89,-2.05,338266.03,-2.05,1974.35,0.25,16856.10,2.09
50,Entry Long,Buy,2023-01-03 06:30,0.3506,2296396.3,-16482.89,-2.05,338266.03,-2.05,1974.35,0.25,16856.10,2.09
49,Exit Short,Buy,2023-01-03 06:30,0.3506,2272304.6,3905.46,0.49,354748.94,0.49,25129.33,3.14,4183.40,0.52
49,Entry Short,Sell,2023-01-02 21:30,0.3526,2272304.6,3905.46,0.49,354748.94,0.49,25129.33,3.14,4183.40,0.52
48,Exit Long,Sell,2023-01-02 21:30,0.3526,2274036.5,46904.91,6.22,350843.47,6.22,52910.73,7.01,2348.35,0.31
48,Entry Long,Buy,2023-01-02 06:30,0.3317,2274036.5,46904.91,6.22,350843.47,6.22,52910.73,7.01,2348.35,0.31
47,Exit Short,Buy,2023-01-02 06:30,0.3317,2186202.3,14280.10,1.93,303938.56,1.93,96334.13,13.02,1389.11,0.19
47,Entry Short,Sell,2023-01-02 00:30,0.3385,2186202.3,14280.10,1.93,303938.56,1.93,96334.13,13.02,1389.11,0.19
46,Exit Long,Sell,2023-01-02 00:30,0.3385,2186648.5,1376.63,0.19,289658.47,0.19,3859.35,0.52,732.61,0.1
46,Entry Long,Buy,2023-01-01 18:00,0.3376,2186648.5,1376.63,0.19,289658.47,0.19,3859.35,0.52,732.61,0.1
45,Exit Short,Buy,2023-01-01 18:00,0.3376,2104861.2,13738.85,1.9,288281.84,1.9,19495.73,2.69,710.94,0.1
45,Entry Short,Sell,2022-12-31 14:30,0.3444,2104861.2,13738.85,1.9,288281.84,1.9,19495.73,2.69,710.94,0.1
44,Exit Long,Sell,2022-12-31 14:30,0.3444,2106521.3,7849.07,1.09,274543.00,1.09,9192.52,1.28,1972.04,0.28
44,Entry Long,Buy,2022-12-31 03:30,0.3404,2106521.3,7849.07,1.09,274543.00,1.09,9192.52,1.28,1972.04,0.28
43,Exit Short,Buy,2022-12-31 03:30,0.3404,2069294.4,6055.58,0.85,266693.90,0.85,7578.92,1.07,1112.12,0.16
43,Entry Short,Sell,2022-12-31 00:30,0.3436,2069294.4,6055.58,0.85,266693.90,0.85,7578.92,1.07,1112.12,0.16
42,Exit Long,Sell,2022-12-31 00:30,0.3436,2070898.9,14140.02,2.03,260638.34,2.03,19601.89,2.81,1521.28,0.22
42,Entry Long,Buy,2022-12-30 12:30,0.3365,2070898.9,14140.02,2.03,260638.34,2.03,19601.89,2.81,1521.28,0.22
41,Exit Short,Buy,2022-12-30 12:30,0.3365,1982966.6,14530.70,2.13,246498.33,2.13,20944.81,3.07,5825.24,0.85
41,Entry Short,Sell,2022-12-29 12:30,0.3441,1982966.6,14530.70,2.13,246498.33,2.13,20944.81,3.07,5825.24,0.85
40,Exit Long,Sell,2022-12-29 12:30,0.3441,1984552,-4517.00,-0.66,231967.62,-0.66,1709.81,0.25,7220.67,1.05
40,Entry Long,Buy,2022-12-29 10:00,0.3461,1984552,-4517.00,-0.66,231967.62,-0.66,1709.81,0.25,7220.67,1.05
